t,Rec_Obs,Rec_i_Obs,p_IL13_Rec_i_Obs,JAK2_Obs,DecoyR_Obs,Compound_1_Obs,Compound_3_Obs
0,1.2426439925645,176.210600449259,0.0201883398644083,2.8081988553082,0.347743909695641,182.47168245916,0.349581483458744
4,1.22309949294409,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,-0.011768375936721,NaN,NaN,NaN,NaN
6,NaN,184.950046697418,NaN,NaN,NaN,179.993777568285,0.3427793141963
6.5,NaN,NaN,NaN,2.94110549961822,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,0.326660891999197,NaN,NaN
8,1.19999384482422,NaN,NaN,NaN,NaN,NaN,NaN
10,1.16027599507043,182.203613237769,-0.0278314129911838,NaN,NaN,NaN,0.357855713279353
15,1.23028452250703,NaN,NaN,2.85216507678849,0.323825566766296,173.232823293022,NaN
20,NaN,185.962509859198,-0.0197712623449578,2.7704503286502,NaN,169.71759923135,0.329875623799427
25,1.28026289200174,185.235999344273,-0.0228662194534452,NaN,0.341263755578928,NaN,0.331011277505569
30,1.2770267970183,NaN,NaN,2.97963150693503,0.35143416392289,180.414386779715,NaN
35,NaN,173.142523467195,-0.0376314477963232,NaN,NaN,NaN,0.349514391330063
40,1.21856359597508,NaN,NaN,2.96977848087574,NaN,191.731026355467,NaN
45,NaN,178.389822458626,0.015862661003198,NaN,0.357649194934785,NaN,NaN
50,1.33229659393097,NaN,NaN,NaN,NaN,194.881639111814,NaN
60,NaN,186.900406820705,NaN,NaN,NaN,184.716453015995,NaN
75,NaN,172.192139206609,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,188.715281764203,NaN
