t,X_protein_Obs,Z_mRNA_Obs,Compound_1_Obs
0,-35.2094719405052,293.070185824732,3343.60291112055
20,NaN,0.869636479105804,NaN
25,2956.56310205439,NaN,NaN
30,NaN,NaN,46974.5781818155
40,NaN,-3.8033982580594,NaN
45,2277.53811634641,NaN,NaN
60,NaN,-5.40342217793744,28292.5490128616
70,1386.40014584802,NaN,NaN
85,NaN,8.79585707288074,NaN
95,NaN,NaN,17148.9844846097
100,1353.27817549104,-1.22036351963917,NaN
150,1569.67593468856,1.27217348268165,11846.3763573552
200,917.074427545376,-4.85384654508996,6347.60449939498
250,1892.40045138857,11.2403574780756,7455.83659119236
300,1609.72532565272,7.22627722583392,NaN
350,815.452642355322,10.3729033807382,4730.0577404216
400,532.504782321595,NaN,2070.96097086334
500,NaN,NaN,2491.92875240697
