t,IRp_Obs,IRS_Obs,XX_Obs
0,-7.11021067795224e-10,12.1019365960797,8.00998374152656
2,NaN,11.0382110680685,NaN
2.5,9.3757832071378e-07,NaN,NaN
4.5,NaN,3.58955699414563,11.2947648200777
5,1.03725491581147e-06,NaN,NaN
6.5,NaN,9.83605491665328,NaN
8,6.73174871019429e-07,NaN,NaN
9,NaN,11.8899247872045,12.6724042260325
10,7.41979680256768e-07,6.69853920758625,NaN
15,3.90999330776701e-07,10.7466428909485,6.69528880068828
20,7.15711160175577e-07,10.0010220345906,15.6735178908188
25,4.1217915338989e-07,7.2921314218171,13.8741236289591
30,4.65445263855607e-07,5.07784646897566,12.3421879035858
35,5.49306407679216e-07,8.34617612125069,NaN
40,NaN,NaN,9.42610410707667
45,2.63664125963641e-07,NaN,NaN
50,NaN,NaN,7.95108497188618
55,6.85555279210572e-07,NaN,NaN
60,NaN,NaN,6.76538707237012
70,NaN,NaN,9.6213467195641
