t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,46935205.9884206,-1.09373785659457e-06,1.0582222863162e-05,3.41745299852145e-08,607.076405689878
300,NaN,3.00134563305398e-05,NaN,NaN,NaN
350,26222493.2410039,NaN,NaN,NaN,180112.395605466
450,NaN,NaN,NaN,6.07323558103021e-07,NaN
550,NaN,2.12307396989244e-05,0.000436919196217279,NaN,NaN
700,15386092.2375969,NaN,NaN,NaN,109894.861421955
850,NaN,1.33776195005792e-05,NaN,NaN,NaN
900,NaN,NaN,NaN,2.03055410455398e-06,NaN
1000,8350361.22266785,1.05217841635737e-05,0.000576773955745782,NaN,63561.9794985177
1500,3603749.37634365,4.80236283303617e-06,0.000524820823714065,3.41777147753124e-06,34262.0846183728
2000,2913025.64250159,3.18359682875217e-06,NaN,3.84188334711275e-06,12385.8939903108
2500,NaN,1.4725343895543e-06,0.000332415487340312,3.9886418051563e-06,1098.1256151364
3000,-170313.184096453,1.22678898928702e-06,0.000241253056334459,3.85347497554442e-06,6960.94673889084
3500,NaN,-4.66407299943775e-07,NaN,NaN,2338.40162266689
4000,NaN,NaN,0.000124055013306619,2.91799590979366e-06,NaN
4500,NaN,2.4570877780637e-08,NaN,NaN,3640.91521791468
5000,NaN,NaN,6.86575705932802e-05,1.92523165719598e-06,NaN
5500,NaN,-8.27123164867415e-08,NaN,NaN,6510.78817793256
6000,NaN,NaN,2.19604715361144e-05,1.22863680893087e-06,NaN
7000,NaN,NaN,2.5219811959592e-05,9.4007932559599e-07,NaN
8500,NaN,NaN,2.07092644996804e-05,3.67729097359691e-07,NaN
