t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,47526489.8946979,-9.40898654640276e-06,-2.21880902406455e-05,-6.12756652081756e-07,163880.286518329
50,26502547.4145466,NaN,NaN,NaN,4249273.93940454
80,NaN,0.000324321241103163,NaN,NaN,NaN
100,17834196.2390094,NaN,NaN,NaN,4498840.30624458
150,10077549.7799321,0.000161888258106879,NaN,NaN,2945218.24595595
200,NaN,NaN,NaN,NaN,1983398.12206412
250,3568962.49897101,9.47326096893451e-05,NaN,NaN,1232614.72194588
300,1885734.61656312,NaN,NaN,NaN,NaN
350,NaN,3.56824054171091e-05,NaN,NaN,450456.444427586
400,715557.48853965,NaN,NaN,2.7143063317483e-06,206863.06336306
450,NaN,2.1314380621511e-05,NaN,NaN,NaN
500,-905755.352214539,NaN,0.00192155544175486,NaN,62443.728156503
550,NaN,2.86733749546256e-07,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,112575.907753303
700,NaN,7.21822393160192e-07,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,78828.3217185983
850,NaN,-1.22531581564423e-06,NaN,7.10558704649939e-06,NaN
900,NaN,NaN,NaN,NaN,-12032.7116059883
1000,NaN,1.37620833541981e-08,0.00148772442477612,NaN,NaN
1500,NaN,8.84911899178513e-06,0.000950870893779955,9.53013094347325e-06,NaN
2000,NaN,NaN,0.000726909109060507,9.18681361422893e-06,NaN
3000,NaN,NaN,0.000271162173072819,7.88392788952421e-06,NaN
3500,NaN,NaN,0.000246130972585344,6.18319417141054e-06,NaN
4000,NaN,NaN,NaN,5.65958921547226e-06,NaN
4500,NaN,NaN,0.000107000984483112,NaN,NaN
5000,NaN,NaN,NaN,3.8072685736004e-06,NaN
5500,NaN,NaN,6.58411421988296e-05,NaN,NaN
6000,NaN,NaN,NaN,2.33965669117995e-06,NaN
6500,NaN,NaN,9.21718986770317e-05,NaN,NaN
7500,NaN,NaN,NaN,9.83205729379871e-07,NaN
8000,NaN,NaN,1.24324118703266e-05,NaN,NaN
8500,NaN,NaN,NaN,1.19506926008235e-06,NaN
