t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,47596235.9477214,-5.39875722569374e-07,3.49053406055792e-05,6.42534113849112e-07,-17280.1429652147
95,32429711.6611975,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,2128483.12787819
200,20701564.4435249,0.000133781832143635,NaN,NaN,1471664.82236886
300,12229780.7217723,NaN,NaN,NaN,NaN
350,NaN,8.31819979172072e-05,NaN,NaN,733529.72583343
400,8969347.05027597,NaN,NaN,2.23038160824671e-06,NaN
450,NaN,NaN,0.00169243728969119,NaN,NaN
500,6394392.69760928,NaN,NaN,NaN,404635.451736917
550,NaN,4.09852884935241e-05,NaN,NaN,NaN
650,3565186.76476766,NaN,NaN,NaN,139144.178495403
750,2378829.60000299,NaN,NaN,NaN,NaN
800,NaN,1.96311355346272e-05,NaN,NaN,NaN
850,NaN,NaN,NaN,6.93851843197604e-06,131570.853229762
900,120598.449257995,NaN,NaN,NaN,NaN
950,NaN,NaN,0.00177227249071483,NaN,NaN
1000,-473569.872654515,4.5885609562245e-06,NaN,NaN,85760.2666682634
1500,-1732269.10202522,3.22634973423118e-06,0.00132899428727729,1.00492823587981e-05,NaN
2000,307034.576236353,-1.08506190901644e-06,0.000808600878014256,1.09985038153979e-05,NaN
2500,NaN,-5.85647443695384e-07,0.000706521769254212,9.65162388904998e-06,NaN
3000,NaN,1.6165096437e-06,NaN,8.21143131458378e-06,NaN
3500,NaN,NaN,0.000262313126173399,7.49252677716848e-06,NaN
4000,NaN,NaN,0.000232057280347115,5.81297619189549e-06,NaN
5000,NaN,NaN,-1.87032067010854e-05,4.44988053812556e-06,NaN
6000,NaN,NaN,-9.2962420557723e-06,1.92551053059244e-06,NaN
7500,NaN,NaN,3.04099817978392e-05,1.64703956066747e-06,NaN
8500,NaN,NaN,NaN,-4.93665182308174e-07,NaN
