t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,47566844.7923992,-3.03801501154382e-06,1.61630446183317e-05,-1.82822078148671e-07,-224629.21500441
40,NaN,0.000527004636942869,NaN,NaN,12765112.8451336
45,1594789.41700881,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,6365947.96713318
85,730613.924517836,0.00019470688507586,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,3696307.5934649
150,375034.766380006,7.28656944520791e-05,NaN,NaN,736334.686904602
200,-349891.777413364,1.88254674857843e-05,NaN,NaN,233970.316884822
250,-588142.009285906,7.38453352208741e-06,NaN,NaN,NaN
300,507128.565974599,-4.90760551856709e-06,NaN,NaN,-104911.063633296
350,NaN,6.9649719081639e-06,NaN,NaN,-299976.566963821
400,-189651.523695733,NaN,NaN,NaN,-214073.357727415
450,NaN,-6.38448116330757e-06,NaN,2.98188121433287e-06,NaN
500,-78495.8425428536,NaN,NaN,NaN,-229423.668750745
550,NaN,-1.49707447198092e-06,0.001411434102185,NaN,NaN
600,NaN,NaN,NaN,NaN,211065.563686848
650,NaN,-1.84787353453549e-06,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,-215857.559260359
900,NaN,NaN,NaN,6.72310888867349e-06,NaN
1000,NaN,NaN,0.000982245550895336,NaN,NaN
1500,NaN,NaN,0.000644628667922956,6.97622087433816e-06,NaN
2000,NaN,NaN,NaN,6.9281439832723e-06,NaN
2500,NaN,NaN,0.00033088536677689,6.63642248063498e-06,NaN
3000,NaN,NaN,0.000220639937209926,5.45941963290653e-06,NaN
4000,NaN,NaN,0.000114585172528448,4.19361900696534e-06,NaN
5000,NaN,NaN,6.91773909953385e-05,2.11478143067692e-06,NaN
6000,NaN,NaN,5.13564005875832e-05,1.9739926553222e-06,NaN
7000,NaN,NaN,2.77350430410802e-05,8.84765927098931e-07,NaN
8500,NaN,NaN,6.82514260930203e-05,5.25654488742255e-07,NaN
