t,EGFR_Obs,pEGFR_Akt_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,46215403.4710727,1.37713207667249e-06,3.71618466230316e-05,-6.54789060371234e-08,-77013.4864994568
35,14867911.1768735,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,8659125.73027045
45,NaN,0.00056078954993375,NaN,NaN,NaN
75,4446315.31573173,NaN,NaN,NaN,7861115.46644856
95,NaN,0.000225841870951953,NaN,NaN,NaN
100,2467026.20256914,NaN,NaN,NaN,5340933.94977074
150,983569.73445074,0.000111288351757007,NaN,NaN,2104243.26113786
200,-474774.878135344,5.08049661941948e-05,NaN,NaN,737278.016413135
250,336129.371562989,1.93418069342191e-05,NaN,NaN,38091.0911358077
300,NaN,NaN,NaN,NaN,-388832.995249082
350,-661196.964914752,1.57899638673814e-05,NaN,NaN,NaN
400,-220989.889682381,-4.73047307207985e-06,NaN,NaN,-66144.2645234447
450,NaN,NaN,NaN,3.73377182613725e-06,111719.919353413
500,NaN,7.8237882814545e-06,0.00165349364307214,NaN,NaN
550,NaN,NaN,NaN,NaN,100789.399893988
600,NaN,5.51923613052105e-06,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,-317585.036146933
750,NaN,-6.55014603304043e-06,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,83027.8730952972
900,NaN,NaN,NaN,6.79201736093006e-06,NaN
1000,NaN,NaN,0.00122817335827763,NaN,NaN
1500,NaN,NaN,0.000745942597041195,8.17801452214103e-06,NaN
2000,NaN,NaN,0.000513973839612178,7.48437990526514e-06,NaN
2500,NaN,NaN,NaN,7.18152144180649e-06,NaN
3000,NaN,NaN,0.000326809596012346,6.1445883788896e-06,NaN
3500,NaN,NaN,0.000195699003041459,NaN,NaN
4000,NaN,NaN,NaN,4.40062981553389e-06,NaN
4500,NaN,NaN,3.10425225150878e-05,NaN,NaN
5000,NaN,NaN,NaN,2.31055322716168e-06,NaN
5500,NaN,NaN,1.1023649187533e-05,NaN,NaN
6000,NaN,NaN,NaN,2.37407285894547e-06,NaN
7000,NaN,NaN,3.20218358938398e-05,9.73683127899438e-07,NaN
8500,NaN,NaN,1.73248785406871e-05,4.37813072167638e-07,NaN
