t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs
0,98.566067998381,405.321071755517,1.88555723702089,1.10192514836157,73.3308494913111,1.0141012862381,1.51101892988864
7.5,NaN,NaN,NaN,NaN,26.8902112569066,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,73.5171702775616,40.5881944101569
8.5,158.169914717948,NaN,NaN,67.6184876211744,NaN,NaN,NaN
9,NaN,182.411214154218,2.3911871666222,NaN,NaN,NaN,NaN
15,199.4358601396,NaN,NaN,171.56708729466,29.6755217558316,291.704940603785,266.070862640977
20,NaN,342.036906267318,46.7350892385143,NaN,58.2145857440924,NaN,NaN
25,544.138929608544,181.755647845244,NaN,552.055888836886,NaN,442.389746065045,666.188650289643
30,NaN,NaN,186.832453220762,NaN,36.4925408151052,NaN,NaN
35,745.27775413992,954.991128619946,NaN,1043.54434758805,NaN,705.608515670057,757.899161726855
40,NaN,NaN,438.928195092886,NaN,45.9310211676241,NaN,1133.32431068801
45,1487.7463320801,NaN,NaN,1414.66617724143,NaN,1096.64584338729,NaN
50,NaN,603.125412609246,444.374595951786,NaN,33.8906592103224,NaN,2056.27435807096
55,NaN,NaN,NaN,NaN,NaN,1457.59776257001,NaN
60,931.137172578075,558.285556180051,NaN,736.805738598924,20.4048044644242,NaN,NaN
65,NaN,NaN,990.20493857896,NaN,NaN,1014.20083334212,2342.77535060047
70,904.834233190754,NaN,NaN,1175.83067871526,64.5395620104937,NaN,NaN
75,NaN,746.970180160687,NaN,NaN,NaN,NaN,1549.27204113913
80,NaN,NaN,514.064610014676,NaN,NaN,953.552282370875,NaN
85,1163.80285846014,NaN,NaN,469.68634706031,33.4886327890599,NaN,NaN
90,NaN,695.796645054668,NaN,NaN,NaN,NaN,1025.47326817175
95,NaN,NaN,NaN,NaN,NaN,1043.4491931344,NaN
100,908.835711228906,682.146040409175,287.548466131658,724.3792722172,49.8264904325087,1018.63167954996,603.968393242722
150,620.443763662086,608.923474848946,157.38072271643,435.824245185156,37.3323446773783,606.252981370845,801.701793726832
200,615.387980076768,305.773156431299,230.487532763242,494.807789656817,NaN,377.709868399697,661.623113240347
