t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs
0,24.9341831400493,68.7872485728281,0.867740218969529,0.89434323240545,33.0135202119514,0.718781454366459,13.9066399409333
7,NaN,NaN,NaN,NaN,34.1776566264507,NaN,NaN
7.5,NaN,NaN,1.41166250132688,NaN,NaN,NaN,NaN
8,NaN,85.7542868584555,NaN,73.9931674544913,NaN,NaN,NaN
8.5,47.7622264009364,NaN,NaN,NaN,NaN,74.5309264828513,130.088007183884
15,273.330963587151,140.218105430776,23.7569915247425,423.526637460796,27.1464431864218,287.466959210268,333.95857919191
20,NaN,NaN,NaN,NaN,34.6203808897036,NaN,NaN
25,605.378335702109,354.381172457593,207.076043184278,854.386817668431,NaN,567.026105630084,821.996359685543
30,NaN,NaN,244.034021962249,NaN,25.8098178673315,NaN,NaN
35,2568.71745483861,698.54313868942,NaN,1409.6402138236,NaN,1133.85934296763,1455.20442836826
40,NaN,NaN,642.318630472643,NaN,30.5962368965765,NaN,NaN
45,1176.72228617297,694.490004297882,NaN,859.180977784017,NaN,1856.72083953892,2007.78291246876
50,NaN,NaN,852.976896994011,NaN,36.8713970400441,NaN,NaN
55,NaN,1104.68139249431,NaN,1700.85525275456,NaN,1433.67740869155,NaN
60,1596.68343537576,NaN,1084.26490764629,NaN,20.2909837933944,NaN,3010.5024064852
65,NaN,895.974863475046,NaN,1721.38394125367,NaN,NaN,NaN
70,1719.29670436323,NaN,495.06497037585,NaN,34.4328587543357,1538.54913467836,1804.85460112291
80,NaN,761.670485720893,NaN,1060.51476901582,NaN,NaN,NaN
85,1813.78994513175,NaN,1054.66237304385,NaN,50.8781809737449,1218.11397982731,1536.68049238905
95,NaN,920.066455492783,NaN,1155.67814260583,NaN,NaN,NaN
100,1421.24970820001,560.600805557792,637.559826547517,1390.52655846336,34.1620504571776,1234.04542630701,1420.10309939733
150,755.250965725022,503.518733722408,424.731124031116,801.590366779779,39.878847292972,912.550338904163,2236.8191884303
200,484.095630342843,675.715909309111,350.625032817703,710.819091018945,NaN,613.327042432236,585.075676399187
