t,Compound_1_Obs,Compound_2_Obs,Compound_7_Obs
0,31.1551394270778,116.236055820733,11.2242999238823
8.5,145.35394294125,NaN,423.097651530784
9.5,NaN,65.6350048954025,NaN
15,742.899005575783,NaN,986.732703798268
20,NaN,720.879531915125,NaN
25,1498.49848634025,NaN,1161.53907887128
30,NaN,947.599986973576,NaN
35,3978.05206274314,NaN,1921.03630949026
40,NaN,1591.65715990282,NaN
45,3627.63106400282,NaN,2187.41463626601
55,1844.59331854316,1598.6225285328,NaN
60,NaN,NaN,1679.22692877399
70,2074.27330009486,1799.13646049413,4147.22761417539
85,1712.93452757818,933.73120172447,3268.92213113581
100,2161.1506434574,755.905258832172,1582.65717906493
150,1312.19809822237,689.441008841597,2044.43596066138
200,793.338465308319,742.322325207762,1651.65935470846
