t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs
0,27.0831490199887,80.802762553502,1.03872573628196,3.33876223210784,46.9550438987185,0,84.8890551144605,125.202788560878
10,NaN,54.6118804308059,1.46352953322055,NaN,NaN,0.509597448973393,139.939793620929,107.112114156701
15,98.155236500105,NaN,NaN,159.035331780535,53.9711168582663,NaN,NaN,NaN
20,NaN,137.979505359453,NaN,NaN,NaN,NaN,NaN,337.695904643294
25,281.587007300085,NaN,41.9849719261921,571.203883670476,NaN,50.2395906099484,296.858329637567,NaN
30,NaN,208.007701246014,NaN,NaN,28.7849433889282,NaN,NaN,705.641416166409
35,NaN,NaN,277.20424309753,NaN,NaN,NaN,683.615384777455,NaN
40,543.893739088636,NaN,NaN,701.171063843336,NaN,287.665469529352,NaN,NaN
45,NaN,468.384961073073,NaN,NaN,29.5097328393187,NaN,NaN,1238.11510752344
50,NaN,NaN,412.390248371344,NaN,NaN,978.44849728829,1245.52979356613,NaN
55,1353.21484727501,316.483384971376,NaN,623.905458169084,NaN,NaN,NaN,1239.00519716962
60,NaN,NaN,436.55647044326,NaN,50.3268831771524,NaN,1032.59670594179,NaN
65,NaN,NaN,NaN,NaN,NaN,1089.73756587516,NaN,NaN
70,758.612420088915,306.030967646596,NaN,830.1806195165,NaN,NaN,NaN,1717.81303674914
80,NaN,NaN,542.975359673378,NaN,36.2129546610714,NaN,918.485201513203,NaN
85,NaN,789.389347425911,NaN,NaN,NaN,1340.72247478213,NaN,1620.48938162509
90,1396.53148742206,NaN,NaN,1430.84824551337,NaN,NaN,NaN,NaN
95,NaN,NaN,666.015351663834,NaN,NaN,NaN,1023.42532466952,NaN
100,932.722984844412,644.75564732509,707.236561891761,937.300680237236,29.6378675015913,1032.86450107695,1213.58089999443,1317.13868200502
150,1208.83112494391,476.796145691522,488.397768633451,1191.39996242724,41.76878991253,1120.85875711606,697.438929593756,2672.03835451973
200,674.165598200938,483.837466938081,530.448390229672,817.611827374264,66.2648666254978,861.235079416743,571.84913497826,1408.21980219196
250,440.403086504901,495.588318599633,291.756117622857,634.595816464904,44.1950269026379,643.433086560433,1005.99432872864,944.814058865026
300,767.38394855674,330.111171028068,244.79110303945,568.127252979184,94.0214276907965,754.085459384964,726.419800885559,717.8988175373
