t,epo_level,Compound_1_Obs,Compound_2_Obs,Compound_7_Obs
35,2.5e-09,66.110737238724,138.247302210735,71.0749172501194
35,2.5e-09,108.672529099369,78.5338617463154,82.9242197032295
35,2.5e-09,124.342236929603,116.783574451912,89.36648384108
35,2.5e-08,360.167508464405,220.641898241152,298.672592703899
35,2.5e-08,371.840332042996,173.915449042345,375.119439810222
35,2.5e-08,453.125897406446,132.939579129301,478.320226333345
35,1.25e-07,909.71003463627,612.80864512165,1361.92139838189
35,1.25e-07,1524.74538851837,790.825643496873,1212.75478057571
35,1.25e-07,2697.2673499846,573.473089041253,1410.04149243344
35,2.5e-07,1601.30761874943,916.733131033839,1349.95025631509
35,2.5e-07,2149.36880991057,931.63408175357,1316.92026371334
35,2.5e-07,2345.39565161933,989.814442776636,1549.71506052535
35,1.25e-06,1837.62700248424,1538.54118404345,1707.68651894572
35,1.25e-06,1976.37900075793,1254.99070190177,1965.20668274154
35,1.25e-06,2457.90516418408,1844.6833315922,3277.13047091924
35,2.5e-06,1794.28999418187,835.673926814986,2710.61254678355
35,2.5e-06,2844.06587700332,1030.02655461187,2978.76329212752
35,2.5e-06,3191.35839064107,1122.67887461084,1823.27403749201
