t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs
0,143.589136013668,169.029708170055,0.849100956681853,0.955910753904044,49.2182281827395,1.15804824587088,1.0142672507304
7.5,NaN,NaN,NaN,NaN,33.2893780770676,NaN,NaN
8,NaN,NaN,NaN,78.4153210299502,NaN,NaN,NaN
8.5,NaN,186.278553896728,1.54924588404642,NaN,NaN,42.7870972696059,44.8587879123058
9.5,191.789201268899,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,227.983299288482,NaN,440.301593597219,32.8459052736751,174.136059753048,611.883246805679
20,455.318283347709,NaN,59.5491518737365,NaN,NaN,NaN,NaN
25,NaN,293.33597605974,112.115033727308,922.57008619439,32.9469970842133,458.835830173271,447.767008344858
30,821.480304662274,NaN,NaN,NaN,26.1343197648832,NaN,NaN
35,NaN,428.26340427432,301.529597053035,827.636501692555,NaN,751.062087259828,1108.9144457205
40,1554.88095651867,NaN,NaN,635.18455182102,21.5867483657428,NaN,NaN
45,NaN,391.717967113614,NaN,NaN,NaN,986.061876237545,1052.70174608358
50,1170.06991068692,NaN,442.818472272871,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,1401.80333985576,43.0104342011266,NaN,1382.0530145545
60,NaN,1089.69519362078,574.541660059752,NaN,NaN,1345.58317018223,NaN
65,1188.54294140667,NaN,NaN,660.802206616233,44.3092349685831,NaN,NaN
70,NaN,783.108635029656,NaN,NaN,NaN,860.447101248237,1540.3618318237
75,NaN,NaN,482.951890686203,NaN,NaN,NaN,NaN
80,995.497587663808,NaN,NaN,579.509870180684,35.0495293182174,NaN,NaN
85,NaN,641.704964997219,NaN,NaN,NaN,743.248846530541,994.861060805956
90,NaN,NaN,424.695507968316,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1138.33693579441,58.1545103986508,NaN,NaN
100,1309.43916245787,889.756947097345,246.319122719406,768.881839082915,34.9032018084983,754.752085674889,1556.72836282042
150,527.117391037396,639.473515651883,252.259012442163,574.359602932799,70.9906693426452,465.362289512464,842.277754378245
200,556.315359848154,523.622584280317,191.609126461965,247.811179654957,NaN,336.782756047932,671.18893461333
