t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me1_Obs
0,0.00262763348582214,0.00189422112130154,0.0564292537400595,0.00823344112023677,0.00243741103057143,0.684068992716858,0.00738128383026223,0.00171301732289859
0.3,0.000312365979833233,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.65,1.45892190135001e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3.75884050790519e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,-1.23883949640507e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-7.88784244478345e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,4.4378349395348e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,2.60069418997925e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.00626770805937274,NaN,NaN,0.00742352482229031,0.00182689264026846
4,NaN,NaN,0.0491161019641007,NaN,0.00236945461930332,0.772553718367186,NaN,NaN
4.5,NaN,0.000433750589664878,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00183382537657698
7,NaN,NaN,NaN,0.0061640159044447,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,0.00714371980433318,NaN
8,NaN,NaN,NaN,NaN,0.00226792729461371,0.750242568678602,NaN,NaN
8.5,NaN,NaN,0.0395508839359283,NaN,NaN,NaN,NaN,NaN
9,NaN,0.000367017993426954,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00628844134434559,NaN,NaN,0.00693904403055065,0.00169532822866708
15,NaN,0.000266179756952976,0.0268513283463392,0.00642566651239691,0.00202769759893308,0.73351984542322,0.00649459014967773,0.00172506381181166
20,NaN,0.00018952715566502,0.0210797719981738,0.00641875475100628,0.00217672404142552,0.776058909066385,0.00648021123927289,0.00160324749860109
25,NaN,0.000146880529339115,0.0171350264207699,0.00626006310392001,0.00214558293415155,0.816368175013266,0.00699160140973448,0.00168803751921855
30,NaN,0.000117122850021175,0.0123869306989373,0.0063616360623477,0.00211959275986216,0.766863063823091,NaN,0.00167832674175314
35,NaN,NaN,NaN,0.00680523960328599,NaN,NaN,0.00657584976328428,0.00155895232143284
40,NaN,5.25748162101155e-05,0.00902728617656797,NaN,0.00212554718872992,0.750319036997118,0.00662358855947359,0.00166536644778331
45,NaN,NaN,NaN,0.00636460406418767,NaN,NaN,NaN,NaN
50,NaN,3.52290860184472e-05,0.00428316613416136,0.00636332815971041,0.00211713578806412,0.739388080609335,0.00670388994077356,0.00161738149693342
60,NaN,4.74267413910998e-05,0.00296563566061322,0.00651926146826379,0.00218704268818754,0.775821113677999,0.00667591675192345,0.00167011248780338
