t,Epo_Obs,Epo_EpoR_i_Obs
0,1322.7254007531,-7.28278805914899
30,986.156688484695,168.788885039824
55,666.879866725693,NaN
60,NaN,241.870893197393
85,645.889043789309,NaN
90,NaN,176.452471501478
100,615.106648454434,228.069783696873
150,447.112647832546,192.43072822113
200,204.041324009736,142.878727865581
250,132.339272869009,130.369595515812
300,200.828503304227,96.7823669990808
350,129.528736488049,NaN
400,NaN,42.3642794656662
450,75.9686703217163,25.141122579199
550,132.97941381816,3.63143758190541
