t,bcar_Obs,bio_Obs
0,8.31556963630816,0.0141164643452298
20,NaN,1.76022766836107
25,1.64872037410892,NaN
45,NaN,4.19954867888736
50,1.70860803379779,NaN
65,NaN,6.5488828508274
80,0.340571018900072,NaN
90,NaN,6.01989093089834
100,0.645968933440419,3.88983587437664
150,0.167114834353089,9.99184619686916
200,0.0382776410936392,5.11612353185608
250,0.0345978409153998,3.39813475526953
300,0.0123509178793563,7.05739039650052
350,0.00626813850345794,5.23794376601526
450,0.000510125696093268,12.4593167174004
