t,K27me1K36me0_Obs,K27me2K36me0_Obs,K27me2K36me3_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00427021104887949,0.0255279060816196,0.00480050638830549,0.516630831352123,0.018476211879316
3.5,0.00271155335337606,NaN,NaN,0.460276385532618,0.0175238222149354
4,NaN,0.0442599941018453,NaN,NaN,NaN
4.5,NaN,NaN,0.0126770573211495,NaN,NaN
7,0.00305735406428376,NaN,NaN,NaN,0.0171509813848357
7.5,NaN,NaN,NaN,0.4098145515035,NaN
8,NaN,0.0269644975884397,NaN,NaN,NaN
9.5,NaN,NaN,0.0197239892359831,NaN,NaN
10,0.00311055267367244,0.0247463965232698,NaN,0.443663838537109,0.0182390411500041
15,0.00344253887009205,0.060177570336925,0.0185826272002921,0.296718667721554,0.0212705026986982
20,0.00312666459661923,0.0492788173981467,0.0145430715945768,0.607431870687202,0.0180751381673119
25,0.00367543178823939,0.0460009370072743,NaN,0.474212188577571,0.0189468417596843
30,0.00304813967606306,NaN,0.00721065728342173,NaN,0.0120474945872383
35,0.00394634769830167,0.038426291448424,0.00902640843656236,0.406874557034402,NaN
40,NaN,0.0404224410642742,NaN,0.583940525175301,0.0229876895168585
45,0.00297943144510357,NaN,NaN,NaN,NaN
50,0.00583655318583605,0.0297023328017741,0.00734710204187793,0.43711999201677,NaN
60,0.00273424406292709,0.023079055486619,0.0107697415110821,0.508979611063037,NaN
