t,input_il6,JAK1_gp130_Obs
52,0.1,0.695873361952889
52,0.1,0.518402062853559
52,0.5,0.684741595163093
52,0.5,0.591167357371247
52,1,0.733240595200727
52,1,0.571656325769854
52,2.5,0.647463137910303
52,2.5,0.544975796436223
52,5,0.197025227578249
52,5,0.10307384521796
52,10,0.565134376936096
52,10,0.617102798729543
52,25,0.604198200271606
52,25,0.647189710305391
52,50,0.774034203490088
52,50,0.818423363103618
52,100,0.409101419755601
52,100,0.422845780287707
52,500,-0.0732243989771267
52,500,-0.18746427420786
