t,input_il6,JAK1_gp130_Obs
1400,0.1,0.624555729994561
1400,0.1,0.695147402184398
1400,0.5,0.558714523823283
1400,0.5,0.653306286209205
1400,1,0.508680246681373
1400,1,0.480579529386819
1400,2.5,0.260468451194523
1400,2.5,0.246861224651899
1400,5,0.0560906310244512
1400,5,0.0311433322787278
1400,10,0.41277248416486
1400,10,0.461293300053425
1400,25,0.162830539699399
1400,25,0.0751597638830862
1400,50,0.251038956930789
1400,50,0.39888722873238
1400,100,0.148200703166085
1400,100,0.140790144503898
1400,500,0.0411783436482256
1400,500,0.0390968274215446
