t,input_il6,JAK1_gp130_Obs
560,0.1,0.922705973749182
560,0.1,0.736084202880264
560,0.5,0.854136488522314
560,0.5,0.898932491260189
560,1,0.82505863972017
560,1,0.720779764846847
560,2.5,0.681663088856727
560,2.5,0.6781592033173
560,5,0.376377789598502
560,5,0.336807338628138
560,10,0.794717816354198
560,10,0.822819626852589
560,25,0.357017202902497
560,25,0.455105944444032
560,50,0.647859218494574
560,50,0.582423472468759
560,100,0.218002453958504
560,100,0.284688012445599
560,500,0.0409507153761669
560,500,0.188003370795017
