t,JAK1_gp130_Obs,STAT3_Obs,nSTAT3_Obs
0,0.672692062558804,63.2096452870173,53.490350462972
7.5,NaN,NaN,73.630767428826
9,NaN,37.1326437649275,NaN
10,0.542899111136127,NaN,NaN
15,NaN,NaN,93.5953268105315
20,NaN,34.2471218169519,NaN
25,0.0832679458404611,NaN,49.2780465820285
30,NaN,56.0419259506671,28.4459900961712
35,-0.0155278276214275,NaN,NaN
40,NaN,58.420800153482,24.3868120502534
50,0.0209643567167552,54.903437976002,NaN
55,NaN,NaN,46.7503271058038
65,NaN,52.438437408719,42.2494445147082
70,0.0776349342714515,NaN,NaN
80,NaN,NaN,55.4267057128961
85,NaN,57.4022024864316,NaN
90,0.137042479849885,NaN,NaN
100,0.102150893329315,62.8766705051125,39.8656465449548
150,0.121402362905509,59.3866664480454,NaN
