t,input_il6,JAK1_gp130_Obs
220,0.1,0.63590340576894
220,0.1,0.715004136127199
220,0.5,0.588221697021623
220,0.5,0.593935926634797
220,1,0.511608427983807
220,1,0.632184124521402
220,2.5,0.373939046261109
220,2.5,0.376864623504413
220,5,0.337280882500316
220,5,0.350731012683005
220,10,0.267974821724464
220,10,0.302505720551765
220,25,0.169271903689953
220,25,0.185146725620496
220,50,-0.0118032527124884
220,50,0.121490531511107
220,100,-0.00874974608643632
220,100,0.0873802608392866
220,500,0.0436972678725652
220,500,0.0708015182446118
