t,input_il6,JAK1_gp130_Obs
47,0,0.662398321543786
47,0,0.729386869933532
47,0,0.809872704084391
47,0,0.638396340970532
47,0,0.548013007160508
47,0,0.733468119568241
47,0,0.728160777818566
47,0,0.668288823056352
47,0.0005,0.641344940262724
47,0.0005,0.631261765955753
47,0.0005,0.645162965570471
47,0.0005,0.699802156135056
47,0.0005,0.58444077705476
47,0.0005,0.617173875752478
47,0.005,0.742080479437542
47,0.005,0.645520776315724
47,0.05,0.699073400670226
47,0.05,0.758062280449695
47,0.05,0.799476741274053
47,0.05,0.727930111633746
47,0.05,0.671104462409444
47,0.05,0.749362479364289
47,0.05,0.721416114535323
47,0.05,0.665562783049057
47,0.1,0.598609961333555
47,0.1,0.711231697473443
47,0.1,0.770534226231041
47,0.1,0.565471382858211
47,0.5,0.560913362753266
47,0.5,0.739357698988888
47,0.5,0.748912118390875
47,0.5,0.619123615736769
47,0.5,0.59093309012973
47,0.5,0.606486226117623
47,0.5,0.595478129213939
47,0.5,0.619139206130902
47,1,0.374039330606503
47,1,0.659809122416746
47,1,0.752067441979512
47,1,0.659076827398927
47,1,0.583824302209416
47,1,0.694554573620949
47,2.5,0.159907328689934
47,2.5,0.229535642583693
47,2.5,0.208704454914782
47,2.5,0.123195767481764
47,2.5,0.229420196179615
47,2.5,0.204599696543931
47,2.5,0.0285082948033236
47,2.5,0.0464021384010653
47,5,0.573329231122284
47,5,0.446123380799014
47,5,0.556251612390751
47,5,0.559132975464253
47,10,0.561647528150465
47,10,0.531911473600798
47,10,0.525699622888735
47,10,0.58149106500395
47,10,0.0995979004207785
47,10,-0.00669703846312466
47,25,0.0571720876985471
47,25,0.200265148720068
47,50,0.0506879274954867
47,50,0.0297551822207354
47,100,-0.116092615416036
47,100,0.0713753173617537
47,200,0.176070589613888
47,200,0.359740402715887
47,200,0.437391776413529
47,200,0.164216976865717
47,200,0.0741762248756622
47,200,0.0370457630076939
47,500,-0.0370750438702684
47,500,0.0556765329351429
47,500,0.0240025969844627
47,500,-0.012164480097927
47,500,0.179644905116696
47,500,-0.0240709314222628
