t,input_il6,JAK1_gp130_Obs
59,0,0.717731839089518
59,0,0.750604143872421
59,0.5,0.760022739565866
59,0.5,0.847633041072388
59,1,0.798594981711363
59,1,0.732303935133722
59,2.5,0.501801772300937
59,2.5,0.574916853755958
59,5,0.118807454283539
59,5,0.229627912416949
59,10,0.670633056442881
59,10,0.687857086149542
59,25,0.470131894077622
59,25,0.344738302802579
59,50,0.688332774980481
59,50,0.70368152043428
59,100,0.254656685607303
59,100,0.286224309674902
59,500,0.0221990134737721
59,500,0.0848323051711864
