t,K27me1K36me0_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me3K36me2_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.00145642509478976,0.013415913052824,0.0046872421133379,0.00249640754954094,0.133332208752362,0.354199503702264,1.6600814842065,0.645156112719226,0.0294674677253927,0.0176132144597754
3.5,0.000722689351877194,0.00746499295361877,NaN,0.00225257865936625,NaN,1.02208079529487,0.677523668585883,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,0.0853013963857967,NaN,NaN,NaN,0.109318520061289,NaN
4.5,NaN,NaN,0.00222587030289298,NaN,NaN,NaN,NaN,0.220247235281713,NaN,0.0314622946093817
7,NaN,0.0593822992954246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,0.000121683738324552,NaN,NaN,0.00178350829695733,0.145420148425158,0.461787423322655,0.786108532259189,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0522187309780817,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.272397678695935,NaN,0.00267406428127242
9.5,NaN,NaN,0.00137491148919314,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.00227939514039833,0.0532112948765891,NaN,0.00090668783458429,0.211550424858954,0.200529143506205,0.198256286665848,NaN,0.0142629617979512,NaN
15,0.000365725212120934,0.00474044544895489,0.00242321884086,0.00353034749610516,0.707733794696076,0.162520108635758,0.577804910874556,0.559924175035714,0.152206282947781,0.0175362794206943
20,0.00124548582896917,0.0221984093001042,0.00272046081583549,0.00513460115640518,NaN,0.42632665957344,0.719768552083792,0.322312933756203,0.168730174693589,0.0228810551516963
25,0.00143650905983817,0.0165985860489842,NaN,NaN,0.0627189497329552,1.414703093119,0.593520567188839,0.242880812090396,NaN,NaN
30,NaN,0.0295479810654934,0.00275233588035214,0.0049627634188727,0.0385972740711671,NaN,NaN,NaN,0.0884044150727875,0.0112261438629883
35,0.000668636902303115,0.00559835086166371,0.00422294328975082,0.00646094707475191,NaN,0.637258072334519,0.880649646724233,0.434053591749267,0.0301028459738757,0.0335287603932898
40,0.00165069863861025,NaN,NaN,NaN,0.0482270935787446,0.391478350938975,0.997629229934069,NaN,0.0449943113419962,NaN
45,NaN,0.0143410316132339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,0.000204187849720626,0.0201250494746008,0.0175869916353979,NaN,0.0654503902341518,0.363793951740825,0.370886960475444,0.390080730919236,0.0148916256576803,0.0224783773687609
60,0.000774696587747001,0.0371248585484421,0.0093676669379704,NaN,0.0211958482954953,0.385380726315467,0.573009674489111,0.479920566620897,0.0173522521614415,0.0155471246272331
