t,Compound_1_Obs,Compound_3_Obs
0,9886.45344525445,-209.546133962051
6,5734.29122071704,NaN
9.5,NaN,889.919015398984
10,3687.46257582127,NaN
20,4196.0040796361,763.195948024671
25,4894.40798265228,NaN
30,5663.44587711252,802.10858234483
40,4887.20329418483,1091.06503492782
50,5500.23478104542,912.108778762479
60,5512.43655703368,NaN
65,NaN,1095.44749858671
70,6132.5188241899,NaN
80,NaN,1259.36323864926
85,4763.60333947611,NaN
100,5068.11182381231,1283.88676747105
150,4284.47188301549,1596.81538468033
200,NaN,1907.30706262236
