t,Uptake1_Obs,BoundUnspec_Obs,Compound_2_Obs,Compound_3_Obs
0,0.239078476763451,0.0248944796421158,0.193803776761383,-0.154464863430014
9.5,0.0530126399983611,NaN,NaN,NaN
10,NaN,-0.087702059011601,-0.0755354306862651,0.0409763971750762
20,0.210380830313046,NaN,-0.0992924044838587,0.219892305677638
25,NaN,-0.114671743042186,NaN,NaN
30,-0.412160489264061,NaN,0.0771860298876283,0.0013207613764613
40,0.0421735072910978,-0.010469523598972,NaN,NaN
45,NaN,NaN,-0.0103002739666587,-0.00445919676552926
50,0.0853168101121781,NaN,NaN,NaN
55,NaN,0.0844132585200127,-0.0303183150649641,-0.042384414044583
65,0.0924813515051658,NaN,NaN,NaN
70,NaN,-0.189608214966368,-0.0385698698893413,-0.0922904544361434
80,-0.215618365357826,NaN,NaN,NaN
85,NaN,NaN,0.077641854166054,0.0102510595245003
90,NaN,0.134028389639693,NaN,NaN
95,0.0750425914810258,NaN,NaN,NaN
100,-0.0177023704596166,-0.0865568189913308,0.071921770004053,0.0368537476126609
150,0.183952151146792,-0.149650641437451,0.100450347746847,0.179869839640995
200,-0.0840806325609107,-0.233969072849512,0.15057979865194,-0.0987661354907088
