t,Uptake1_Obs,BoundUnspec_Obs,Compound_2_Obs,Compound_3_Obs
0,0.00116795977832834,-0.347577066129941,9.79405552323834,0.817126937697124
6.5,NaN,4.21363004757485,NaN,NaN
8.5,NaN,NaN,11.6065890308656,NaN
9.5,NaN,NaN,NaN,2.99508311714136
10,0.0588866706208564,NaN,NaN,NaN
15,NaN,2.53559986619418,12.4282814681569,NaN
20,0.0945912179149107,3.95582211208136,NaN,4.5710255504809
25,NaN,4.88394699935933,12.8682217245558,NaN
30,NaN,NaN,NaN,5.15344960554283
35,0.137334828916675,3.76540287315417,14.8969344204281,NaN
40,NaN,NaN,NaN,6.2717118050955
45,0.11870285094724,2.62551714030258,13.5294800777673,NaN
55,NaN,3.17007565878008,NaN,8.62433711191591
60,0.184622446077725,NaN,13.0113636032822,NaN
65,NaN,2.976406496452,NaN,6.40447275140977
70,NaN,NaN,14.9516411484595,NaN
75,0.123307882343618,NaN,NaN,NaN
80,NaN,3.14822930551584,NaN,7.86056688078143
90,NaN,NaN,13.3611113933247,NaN
95,0.152334703606879,2.91798665228785,NaN,NaN
100,0.154357765914242,2.70180599837318,13.0044578688529,9.37951113778284
150,0.19338472250994,2.6525044240369,10.3555891721402,9.42252256526966
200,0.16540422447111,NaN,10.5142981377979,9.30025051320204
