t,Uptake1_Obs,BoundUnspec_Obs,Compound_2_Obs
0,1.73743897207892e-06,0.00255092950611436,0.0986987996091745
6,NaN,0.0436074916180268,NaN
10,0.000904160781417745,0.0412201229249939,0.0970417717261956
20,NaN,0.043143577338536,0.120890943627138
25,0.00101196619335993,0.0448761682311824,NaN
30,NaN,NaN,0.114561648794992
35,0.00130032290911102,0.0338932424615544,NaN
40,NaN,NaN,0.175007522369441
45,NaN,0.0370256488125147,NaN
50,0.00144732986394841,NaN,NaN
55,NaN,0.0319758346530233,0.144409657876027
65,0.00157846596973253,0.0338327108280124,NaN
70,NaN,NaN,0.111968165486057
80,0.00171618578371676,0.0383504655584758,NaN
85,NaN,NaN,0.116714076587247
95,NaN,0.0335014763682059,NaN
100,0.00149596028409614,0.0352087999983407,0.130392931083009
150,0.00172029548349777,NaN,0.138494984504648
200,0.00176083331833758,NaN,0.126809767630288
