t,Compound_1_Obs,Compound_3_Obs
0,95.5761314359064,3.60492359366745
6,47.933902185825,NaN
9,NaN,35.2925463971951
10,57.9706999180092,NaN
20,71.7241017562883,45.7613159582198
25,64.4137996782838,68.6376454143682
30,68.9346725045308,NaN
35,NaN,61.9529704317854
40,66.8706748797171,NaN
50,79.3837751432553,69.9650843289201
60,62.2801411699213,65.4896588458425
70,69.8508733148584,NaN
75,NaN,63.0043813874591
85,58.5212636106196,NaN
90,NaN,96.0020457742002
100,63.1778738609747,78.504776323392
150,NaN,87.6859674716194
200,NaN,105.024673742956
