t,Uptake1_Obs,BoundUnspec_Obs,Compound_2_Obs
0,0.00118021220127065,-0.0896192064503252,1.00304470115308
6,NaN,0.379205769917431,NaN
9,NaN,NaN,1.02439001405952
10,0.00959893887294634,0.461410921540642,NaN
20,0.00791299036316,0.286461701832379,1.35573478123253
25,NaN,0.444486162060045,1.24790294747899
30,0.0111362415532875,NaN,NaN
35,NaN,0.315191930727625,1.36137894216263
45,0.0129645811045608,0.336324067443089,NaN
50,NaN,NaN,1.24548075746122
55,0.0122544337310311,0.272803126223898,NaN
60,NaN,NaN,1.2746772987101
65,NaN,0.33502772089179,NaN
70,0.0156364518000994,NaN,NaN
75,NaN,NaN,1.35515298234895
80,NaN,0.308266369531044,NaN
85,0.0147872289074964,NaN,NaN
90,NaN,NaN,1.20929875185023
100,0.0146693805026053,0.234190200847614,1.07069369935666
150,0.0169596971766766,NaN,1.4087900312217
200,0.0186644119484344,NaN,1.12562263657718
