t,input_il6,Compound_3_Obs
10,0.1,0.00715159324065529
10,0.1,0.00749123558821641
10,0.1,0.00839863805115137
10,0.1,0.00881171611916422
10,1,0.0074605711130508
10,1,0.00805555638090908
10,1,0.0144007977238517
10,1,0.0162246880616734
10,5,0.0264827244465453
10,5,0.0346506992692094
10,5,0.038731229634973
10,5,0.0767809286572576
10,10,0.049456295501544
10,10,0.0527859619453466
10,10,0.0696531437319312
10,10,0.0945997333288879
10,50,0.111840946876598
10,50,0.170581059178265
10,50,0.215010141966914
10,50,0.258637809103265
10,100,0.232092241425125
10,100,0.300020995405711
10,100,0.305760703769782
10,100,0.361765982465323
10,500,0.348832268658539
10,500,0.476238066035233
10,500,0.551606959697757
10,500,0.615164726904937
