t,input_il6,Compound_3_Obs
51,0,0.0812259545804175
51,0,0.114082910973878
51,0.5,0.136037705525222
51,0.5,0.160491256693932
51,1,0.107065384434204
51,1,0.135182396058043
51,2.5,0.118861238786332
51,2.5,0.183390643722778
51,5,0.109964044662688
51,5,0.120233106148969
51,10,0.123236325680251
51,10,0.183588773304626
51,25,0.101787571077687
51,25,0.127774773403254
51,50,0.101477084332106
51,50,0.13366811681924
51,100,0.173923679445776
51,100,0.177003398881665
51,500,0.105299833508391
51,500,0.138375225604221
