t,Compound_2_Obs,Compound_3_Obs
0,3.09309161104373,0.0110038864092977
5,NaN,0.00199154505398044
10,NaN,0.0019068265246534
15,35.5053162779245,0.00129913925250028
20,NaN,0.000242296702633711
30,56.9968547882674,4.87194366378278e-05
35,NaN,1.84494403471887e-05
45,43.597463826345,1.03279142100266e-05
55,NaN,8.86343025273305e-06
60,47.8841470754962,NaN
70,NaN,1.55425802316829e-05
80,29.5345045063166,NaN
100,51.9742095647813,NaN
150,31.039317200696,NaN
200,68.4738055760965,NaN
250,42.1925499445986,NaN
300,50.6475453052569,NaN
400,33.3873083117487,NaN
450,43.5210569969849,NaN
