t,Compound_2_Obs,Compound_3_Obs
0,3.59979572141497,0.00594631166732802
10,43.3551912401053,NaN
20,57.6385179562647,NaN
25,NaN,0.00110803186991319
30,62.084214975073,NaN
45,42.331617276203,NaN
50,NaN,0.361141520998268
55,23.5080579171916,NaN
70,5.76836059166019,NaN
75,NaN,0.0625190370355311
90,9.59542782595777,NaN
100,15.0256050917923,0.0987576605402659
150,18.0514612023915,0.0709003045579274
200,NaN,0.140192103932155
250,NaN,0.0978657967556257
300,NaN,0.0645787560767473
350,NaN,0.0877007242992914
450,NaN,0.107770210145742
