t,input_il6,Compound_2_Obs,Compound_3_Obs
17,5,20.1201624069531,0.130583407573081
17,5,20.3329093570067,0.0946363240275896
17,5,32.6250831841607,0.0629276020820279
17,5,59.0448250698762,0.052368515590032
17,20,22.056091473277,0.276507826263218
17,20,27.6414496108168,0.213050157378759
17,20,43.6525398582761,0.340929277726298
17,20,47.6531546598023,0.252425683996424
17,40,41.0355616953592,0.287097771607931
17,40,47.1899232922075,0.330457084310837
17,40,53.0131302016708,0.616783645661029
17,40,66.3588056904409,0.49218512627254
17,90,21.2106638006344,0.396255516111264
17,90,37.7047041175585,0.267438113136475
17,90,53.8084433448032,0.566603440785337
17,90,57.8956307684378,0.632137810672825
