t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,36.1866318037908,1.1251074092673,0.0112959304489086
8.5,NaN,13.4703738041221,NaN
9.5,60.3642445247999,NaN,NaN
10,NaN,NaN,-0.0245951580349903
20,56.8722593434402,43.6609771584114,NaN
25,NaN,22.717662436869,0.0892388079510469
30,35.7373284921357,NaN,NaN
35,NaN,NaN,0.218036332689777
40,30.059880038951,3.25204207676831,NaN
50,NaN,2.67806231279844,0.207010919589494
55,32.0015755221661,NaN,NaN
65,NaN,-0.445085969233512,NaN
70,25.9644633013454,NaN,0.0699130105592373
80,NaN,1.61294052077076,NaN
90,26.2870654945408,NaN,0.00409510648192527
100,26.5306037801318,0.367232643289813,0.00305252973345384
150,33.0043332672616,NaN,0.00211630956226733
