t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,38.6580787304011,0.0058116566202292,6.11629017259334e-05
4.5,NaN,0.00274219651765905,NaN
6.5,NaN,NaN,6.78664811749344e-05
9,NaN,0.00167939304074183,NaN
15,NaN,0.000910750716003774,6.91443183318938e-05
20,64.262755041882,0.000336796887308575,6.13474197032928e-05
25,NaN,0.000423878068312747,4.74249975569035e-05
35,NaN,0.000300055816582827,2.56121768119506e-05
40,62.7481280246461,NaN,NaN
45,NaN,NaN,2.2817954039217e-05
55,NaN,NaN,1.01800828501866e-05
60,57.0065869947519,NaN,NaN
70,NaN,NaN,8.52298646556196e-06
80,NaN,NaN,5.84495324862371e-07
85,50.9869832965594,NaN,NaN
100,57.5119575332199,NaN,-4.0912360336472e-06
150,59.1212050623344,NaN,NaN
200,47.4578984616591,NaN,NaN
250,42.8448118192923,NaN,NaN
300,36.4329856610315,NaN,NaN
350,22.4825393751976,NaN,NaN
400,24.8581109408595,NaN,NaN
