t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
37,0,0.434712478257273,0.000457064360845375,0.00259950029471912,-0.00593312878942789
37,0.0005,0.442421297339858,0.00207884729079554,0.0159735641343511,-0.0908619395412034
37,0.005,0.479196765303607,-0.00110199889208202,0.0169783357726333,0.00923974925842547
37,0.05,0.516471424453312,0.00250753930809711,-0.00212186318061019,-0.0346397175317685
37,0.5,0.489350595299876,0.00128145852583512,0.0247486310726113,0.0503772933830511
37,5,0.145847228155983,0.033835289919152,0.191982572125799,0.601302574543931
37,50,0.0653993865516511,0.0301403955802266,0.175435224937196,1.34358724341534
37,100,0.479954767489509,0.00294536617513853,0.0287157713046282,-0.0306191806640763
37,200,0.296460832375022,0.0295766664392155,0.162082824589948,0.141968389747498
37,500,0.00994222156008729,0.021675840109308,0.106023698369321,2.44750965274347
