t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,37.7393203109552,0.135943235238131,0.000624468484021225
9,NaN,0.427486526984629,NaN
10,46.6219524771775,NaN,NaN
15,NaN,NaN,0.0027548223320808
20,NaN,7.24002982370054,NaN
25,44.0407152333008,NaN,NaN
30,NaN,3.8017902553085,0.0155997862688374
35,32.2182700414265,NaN,NaN
40,NaN,0.693299864435264,NaN
45,NaN,NaN,0.0401060556598079
50,34.4444288463988,0.228891801036794,NaN
60,NaN,NaN,0.0278057449397951
65,26.686473263567,0.240036880842224,NaN
80,NaN,-0.392485367815508,0.00793713888737928
85,24.8150251722942,NaN,NaN
100,29.8328478173233,0.205582204244209,0.00316213334265278
150,32.4117213236516,NaN,-0.00161479089825987
