t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,26.5331789083267,1.10538744915856,0.00159915447323123
8,56.0781733345259,NaN,NaN
9,NaN,13.7039236217799,NaN
10,NaN,NaN,0.0022742092978022
15,70.8751546098933,NaN,NaN
20,NaN,43.6787514165106,NaN
25,27.3223451966777,NaN,0.0691258367088661
30,NaN,9.91979350386433,NaN
35,23.903526302418,NaN,NaN
40,NaN,2.73538281109815,0.2473869887769
45,20.7953087870052,NaN,NaN
50,NaN,1.89587731113745,NaN
55,NaN,NaN,0.162054956132001
60,26.258274174738,NaN,NaN
65,NaN,-1.41168653874693,NaN
75,29.1722846447342,NaN,0.0363586307675749
80,NaN,1.13392655590198,NaN
90,26.2813719447916,NaN,NaN
95,NaN,NaN,0.0125203663589789
100,37.4541928167523,0.396414402702908,NaN
150,NaN,NaN,0.0093157783907512
