t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
0,0.44934147263188,0.000843335404440191,0.00462961261768306,0.00605533065264874
9,0.430517199796617,0.000693249010511484,NaN,NaN
9.5,NaN,NaN,0.00445699549102073,NaN
10,NaN,NaN,NaN,0.00665401967759881
20,0.550641908282245,0.000677790488879418,0.00505384830525357,0.00661009402638277
30,0.509903944238096,0.000705284535220011,0.00397300800333684,0.00606768840089869
40,0.334992406594177,0.000738549923393228,0.0046746754893796,NaN
45,NaN,NaN,NaN,0.00610106923683296
50,0.364136039192572,0.000755832643088847,NaN,NaN
55,NaN,NaN,0.00442590380906653,NaN
60,NaN,NaN,NaN,0.00492344123505984
65,0.365721130475773,0.000847150861526291,NaN,NaN
70,NaN,NaN,0.00454392956113795,NaN
75,NaN,NaN,NaN,0.00421672985079403
80,0.510257528787158,0.0008205708053714,NaN,NaN
90,NaN,NaN,0.00469988696196031,NaN
100,0.506179355280061,0.000613201535324135,0.00430146146340244,0.00361702805415569
