t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
47,0,0.468445132589071,0.00322583291868727,1.77825665848641e-05,-0.0386784675000635
47,0,0.508159370432169,-0.00191184394040343,-0.00968387565689229,-0.0397749009570683
47,0.5,0.43100917602972,-0.00215808925491761,-0.00863286020465785,-0.0506591141256571
47,0.5,0.450837216168356,0.000491966044312358,0.00375052478435063,-0.0259014351694124
47,1,0.503740892749854,0.00319281626573948,0.0249896897923855,0.0523042196232486
47,1,0.518557742543754,0.00215726431547862,0.0138283419458652,0.00677743259511842
47,2.5,0.416814347083247,0.00401345170433313,0.00319272491338978,0.00947525179121665
47,2.5,0.460299845249121,0.00490270534844075,0.0247307588545009,-0.0508060312193382
47,5,0.393760652617314,0.00482555480235515,0.0142792001882983,0.0362923131986934
47,5,0.53172828887224,0.00545961517500867,0.0313381550495302,0.028692541063141
47,10,0.442864666678287,0.0108699070269181,0.0453197039004521,-0.0478108214663503
47,10,0.517627291057576,0.00626650818605854,0.0532104415879605,0.00803127599864073
47,25,0.368352250161385,0.0199840369353467,0.0979309627164985,0.0379240516157828
47,25,0.370532059523346,0.0173427823531578,0.0903120631386728,0.0301849311525001
47,50,0.195579396601071,0.0271048471695744,0.174476848406889,0.162469822670754
47,50,0.230664098090298,0.0306191772596349,0.158292761893062,0.158785674253362
47,100,0.0748921332882906,0.0308236164346342,0.181572715401576,0.409610212040597
47,100,0.238813740091405,0.0319062699367945,0.18772232922905,0.387812040525903
47,500,0.012912381165196,0.0225837827882762,0.129852894711773,1.1473258309723
47,500,0.0435761301936308,0.0198073545850127,0.121603845043793,1.11374551575023
