t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
120,0.1,0.472187812452413,0.00144810905830481,0.001024204332651,-0.000365165471062145
120,0.1,0.494108873552531,0.000364577624428552,0.000428323818554467,0.00212271472279442
120,0.5,0.481936826469836,0.00101380214808044,0.00216272339968845,-0.00188070673255269
120,0.5,0.510850673556096,0.00164030272744328,0.00199604954431638,0.00195509823852493
120,1,0.473848487669894,0.00179249931403277,0.00137919124970225,0.00063887189283705
120,1,0.476894560371983,0.00318507431587573,0.0018880329849481,0.00290579153223086
120,2.5,0.477410171661675,0.00157256028708591,0.00333927232721515,0.00772942639312534
120,2.5,0.493000152231164,0.00292408161339708,0.00503734689755424,-0.00182669998297306
120,5,0.46241307477519,0.00436534539359506,0.00679367364567526,0.0138838717662318
120,5,0.463250827879398,0.00462590673328912,0.0072569071416457,0.0102352792583273
120,10,0.390185709451351,0.00579311761327711,0.0066981315715745,0.0434274682000926
120,10,0.405220967388696,0.00593274993830721,0.0106850154629131,0.0471992170634104
120,25,0.174454378086354,0.00737865364538859,0.0117492503855069,0.0577069919028962
120,25,0.256975701809831,0.00740657797079348,0.0106752602015961,0.0524706544524634
120,50,0.122186858112256,0.00939974701445107,0.00833897900718325,0.0175477743575626
120,50,0.138242161515268,0.0082505253972918,0.0108673602726969,0.0204906794978794
120,100,0.0503042961941148,0.010062578761187,0.00999173434746632,0.0159684025116571
120,100,0.106568722891797,0.0111139275942498,0.0106649632010089,0.0105840198655868
120,500,0.0128857093300978,0.0238393703134749,0.0240093603937808,0.0350120923093234
120,500,0.0273481188739917,0.0236849836978153,0.0221235881151069,0.0316552893745036
