t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,31.2617362097191,0.274623548233371,0.00684995094721194
8,50.1544766688501,NaN,NaN
10,NaN,4.46265573157444,-0.00155255351416242
15,70.3306389025098,NaN,NaN
20,NaN,23.0202293453124,NaN
25,44.6967418472986,NaN,0.0221587245654222
35,29.7859910521348,3.22983394748066,0.080633970591662
45,37.0922733899175,0.0907751430762885,NaN
50,NaN,NaN,0.109176480925906
55,31.6794628703115,NaN,NaN
60,NaN,-0.0991757950139202,NaN
65,NaN,NaN,0.047448099452739
70,36.9857656474224,NaN,NaN
75,NaN,0.635031598374676,NaN
85,28.4377059369973,NaN,0.00730050639927848
95,NaN,-0.085556077149241,NaN
100,37.0844648045099,0.0875053658524349,0.00337535344638385
150,NaN,-0.425416568789147,0.00272681940691547
