t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,19.1350064127538,0.53668699169951,0.00096167867632108
8,56.7532400454513,NaN,NaN
9,NaN,-0.172265521493158,NaN
10,NaN,NaN,-0.0172513963506501
15,76.8201152552469,NaN,NaN
20,NaN,0.141399045989927,0.00527469678848794
25,72.350365954261,NaN,NaN
30,NaN,1.13479842614261,0.0031146937217463
35,56.9048293317645,NaN,NaN
40,NaN,68.2345144337518,NaN
45,NaN,NaN,0.0628868466436728
50,27.7468254942674,16.5620681324686,NaN
55,NaN,NaN,0.258398672488186
65,33.2800836655229,-0.104453319528132,NaN
75,NaN,NaN,0.24232464517949
80,25.9569028423738,-1.89942054573731,NaN
90,NaN,NaN,0.0978772396822157
95,NaN,0.924678318791295,NaN
100,46.3464595055783,-1.31188961378863,0.0445181924794309
150,NaN,1.59632544126047,0.0156493782707973
