t,input_il6,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,2.5,34.0254248645212,0.0067003366087116,7.00115042707381e-05
0,2.5,28.1811831243393,0.00649076654895586,7.0162964161272e-05
0,2.5,27.2902219093602,0.00430244482273537,6.5237188598753e-05
0,2.5,33.9633406340789,0.00595770095861596,7.05730253688191e-05
0,2.5,36.2077406890022,0.00620910047978302,6.00238447025437e-05
0,10,39.3989777005906,0.00413062780470328,6.35716524844942e-05
0,10,30.3570385864076,0.00525961099060685,6.73406862173078e-05
0,10,28.758063596824,0.00722463585808376,7.57915062001834e-05
0,10,30.4355597217336,0.00524293900820703,7.19743075022922e-05
0,10,25.2005776230523,0.00582736918490224,6.77054017808441e-05
0,60,33.0066022251942,0.00677975049255807,6.81591563929451e-05
0,60,34.2678193522141,0.00662690117699878,7.39450269298827e-05
0,60,31.0310401837333,0.00641432694218519,7.10937095462173e-05
0,60,36.4796259245392,0.0068932600576659,8.80703157794336e-05
0,60,38.3031795526101,0.00535948930810582,7.63039235364106e-05
0,120,31.7441929619187,0.00475912590086137,6.40790497218882e-05
0,120,27.2523242518038,0.00393681164656325,7.47982699328072e-05
0,120,23.0662107073026,0.00536785802552071,5.39493335256048e-05
0,120,27.0277919243047,0.00600895993999719,7.28849616206684e-05
0,120,39.4375117182023,0.00572481063591209,6.57425390168049e-05
