t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,30.3339259661166,0.0377868549851142,-0.000466812105343158
8.5,61.3157117593901,NaN,NaN
10,NaN,16.3404363507767,NaN
15,56.3437214353963,NaN,0.00329012830758981
20,NaN,12.4190679775853,NaN
25,26.9383639227486,NaN,NaN
30,NaN,NaN,0.0705885616466672
35,34.6609653904808,1.39355033751065,NaN
45,NaN,1.05509344069064,0.0898008289189556
50,26.420873768877,NaN,NaN
60,NaN,0.553127718818785,NaN
65,33.5499514149056,NaN,0.025939007991608
75,NaN,-0.369230257718548,NaN
80,34.2797009306827,NaN,NaN
85,NaN,NaN,0.00264515759933165
95,NaN,-0.455707543162365,NaN
100,30.7142360366871,0.54757348316012,0.00681610442039565
150,NaN,-0.250196236787046,-0.00134273555131322
