t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,37.6444982546404,-0.338012830064056,-0.0119586289142719
8.5,NaN,11.3927799422153,NaN
9.5,NaN,NaN,-0.00419749035942976
10,58.1164713130878,NaN,NaN
20,44.228449999318,43.4421145180333,0.0140770618779071
25,NaN,21.2497565544319,NaN
30,NaN,NaN,0.153617811451309
35,31.5307316741899,NaN,NaN
40,NaN,2.37791416025191,0.239946262038611
50,37.8456862838195,1.89283569378146,NaN
55,NaN,NaN,0.161279514403067
65,31.1943015066591,1.76432366341354,NaN
70,NaN,NaN,0.048520547551466
85,26.7272559945837,0.683238135227983,0.0338747628176255
100,33.0417725721683,NaN,0.00452506108260733
150,25.5076422121158,NaN,0.0134564760324254
