t,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,SOCS3RNA_Obs
0,34.0707675299359,-0.116055902029055,0.00625514217774774,-0.000395956907132009
9.5,NaN,NaN,0.114082166768224,NaN
10,36.2089123577165,0.179313694101818,NaN,-2.40097230522358e-05
20,NaN,NaN,0.825743154661043,NaN
25,39.5613629407664,2.36286568373498,NaN,0.00145825965774594
30,NaN,NaN,2.03977802370176,NaN
40,37.0504953982095,1.03319189879255,1.63145101849655,0.010340335969375
55,28.4630687370555,0.19858570581806,0.318420702832734,0.0163952274191761
70,27.7461735749513,NaN,0.109624380137168,NaN
75,NaN,-0.0278984063775266,NaN,0.00651338212346903
90,NaN,NaN,-0.0642728840042784,NaN
95,29.8571227814959,0.070335693253718,NaN,NaN
100,34.5170170262921,-0.018520847984846,-0.0333972678510872,0.00215770896163815
150,28.5431265400311,NaN,0.273906010005259,0.000359368175951514
200,33.6565955596845,NaN,NaN,NaN
