t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
0,0.483253687783365,0.00173399472556822,0.013501140702783,0.67876930364903
9.5,NaN,0.0529216356249535,NaN,NaN
10,NaN,NaN,NaN,2.20657347755617
15,0.225382447677247,NaN,0.215369726570019,NaN
20,NaN,0.0310347747422468,NaN,4.37482271119903
25,NaN,NaN,0.0436976881025555,NaN
30,0.0113518083535469,0.00178737900610863,NaN,NaN
35,NaN,NaN,NaN,27.6050535177904
40,NaN,0.000711503568874889,0.00128867320975097,NaN
45,NaN,NaN,NaN,25.6553490069642
50,0.0128341800412522,NaN,NaN,NaN
55,NaN,7.12490604068397e-05,-0.000351305036135439,NaN
65,0.00228417676253213,NaN,NaN,8.64429702854441
70,NaN,0.00117537374185359,NaN,NaN
75,NaN,NaN,-0.00186197494159731,NaN
80,NaN,NaN,NaN,2.88991809701745
85,0.0146483485975871,-0.00060627865853755,NaN,NaN
95,NaN,NaN,0.0039808598368709,NaN
100,0.0114847395466188,0.00480255859426409,0.00402036169750633,0.21273846536956
150,0.0283314895962079,0.0105069131660087,0.043930637013322,1.43107906702306
200,0.0219184229432271,NaN,NaN,NaN
250,0.0275660305927052,NaN,NaN,NaN
