t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,37.5108681160202,-0.235654012113583,-0.00460895177595055
7,NaN,1.22286420468114,NaN
10,43.7091819738089,NaN,-0.00615725501453905
15,NaN,16.9012709706706,NaN
20,67.3613569484437,21.7941708218824,NaN
25,NaN,NaN,0.0245871670639778
30,31.5235909551102,7.5623838294208,NaN
40,NaN,2.39211185965229,0.107164258303937
45,22.085427057592,NaN,NaN
50,NaN,-0.950381047581355,NaN
55,28.469275881779,NaN,0.0797062139702148
60,NaN,-0.329550492549516,NaN
70,27.1467824870602,NaN,NaN
75,NaN,-0.790023853038184,0.0245680090610967
90,29.9308411298019,1.12988708067379,NaN
95,NaN,NaN,0.00635247554301883
100,28.465076183607,0.0631500801282154,NaN
150,27.0416365112268,NaN,-0.00590628098369977
