t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,30.9962431073039,0.124469785797327,-0.000488965983525561
8.5,38.5485338123566,NaN,NaN
9.5,NaN,2.87391949883753,NaN
10,NaN,NaN,0.00113300565652506
15,38.5604893698404,NaN,NaN
20,NaN,2.6654764554098,NaN
25,22.9993170196939,NaN,0.00928484551979379
30,NaN,0.569514662236151,NaN
35,32.0558427257647,NaN,NaN
40,NaN,NaN,0.0204954045580981
45,NaN,0.0831862659372616,NaN
50,26.478333553564,NaN,NaN
55,NaN,-0.0421465494665982,0.0113239382864615
65,29.4780429186627,NaN,NaN
70,NaN,NaN,0.00416116762560599
75,NaN,0.182740181057887,NaN
80,26.8651346805298,NaN,NaN
90,NaN,NaN,0.00112175552416547
95,NaN,0.0260689848167135,NaN
100,24.6217297765187,0.00234253434285218,0.00138764864594324
