t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,30.3946298434214,0.301494408639204,-0.001271104568343
9.5,61.0946848885566,NaN,NaN
10,NaN,20.2618818213361,-0.0057231805498595
20,39.2711477031783,34.4200792237395,NaN
25,NaN,NaN,0.0917069649962385
30,31.4926228046504,NaN,NaN
35,NaN,2.0677772936352,0.207651809339593
45,19.6362712989901,-0.104434459076702,NaN
50,NaN,NaN,0.198091684356602
60,28.7964545398172,0.928142280416607,NaN
65,NaN,NaN,0.0769904729699403
75,28.2658233130287,NaN,NaN
80,NaN,0.776146711174895,NaN
85,NaN,NaN,0.0186894279831034
95,32.8092237018863,NaN,NaN
100,29.5167224534988,-1.41962869233987,-0.000718392001670379
150,NaN,NaN,-0.013274406570048
