t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,28.178194661243,-0.111115089200715,-0.00226195542026547
8.5,44.2472403417019,NaN,NaN
9,NaN,3.19384434085018,NaN
15,54.0434910935797,NaN,0.00135171485843224
20,NaN,15.8229781407781,NaN
25,32.529044542326,NaN,0.0190711814515012
30,NaN,3.78169617676442,NaN
35,29.1860906699301,NaN,NaN
40,NaN,1.22705216482257,0.0804679754440301
50,36.2559295540188,-0.28236361731913,NaN
55,NaN,NaN,0.057107972284525
60,24.4115463819078,NaN,NaN
65,NaN,-0.829044230824861,NaN
75,30.380153490674,NaN,0.0103300919558009
80,NaN,-0.262592754339134,NaN
95,26.1178674519899,NaN,-0.00040697774967457
100,30.5362443168711,-0.472390476275937,-0.00213939598918309
150,NaN,NaN,0.00481860792866372
