t,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,SOCS3RNA_Obs
0,27.5956649103255,-0.041498648375099,0.145736357235479,-0.00786821341085497
7.5,NaN,7.01560633460737,2.71711408683541,NaN
8,45.6809825655524,NaN,NaN,NaN
10,NaN,NaN,NaN,-0.00628111403539521
15,71.7992197349633,52.9749911067283,23.5630978224646,NaN
20,NaN,NaN,NaN,0.0208011890038714
25,37.0238913320597,20.8810056710008,34.7230921101953,NaN
30,NaN,NaN,NaN,0.15104060588969
35,32.5695953505668,4.70587350588228,14.2794489260408,NaN
45,NaN,-0.236922899587442,3.51325126876087,0.220016749438183
50,32.0560906826561,NaN,NaN,NaN
55,NaN,0.562617247805567,-0.707737942931502,NaN
60,26.4655953597959,NaN,NaN,0.137540021311354
70,NaN,-0.0393003278634395,1.22605507315058,NaN
75,30.8530565291605,NaN,NaN,0.0571660040164065
85,NaN,NaN,-0.030201474105277,NaN
90,NaN,2.41632107898662,NaN,NaN
95,31.857757755246,NaN,NaN,0.0140371280555091
100,36.0042199588073,0.804795818954516,0.171680037760884,0.0171749165117331
