t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
260,0.1,0.432788405918093,0.00134300978101282,0.000412146782312705,-0.071598083330946
260,0.1,0.44861565213318,0.000545746894593768,0.00246439091275535,-0.072065456076355
260,0.5,0.378399300736726,0.00106138452247168,0.00603282187814496,-0.0153621064986236
260,0.5,0.412687858643134,0.00111530143728281,0.00712923895020644,0.0406915016289206
260,1,0.375598284742127,0.00136138487147047,0.0116953431395949,0.0102600974972011
260,1,0.381867798196705,0.00218595316733377,0.00878221682929702,0.0869123959550564
260,2.5,0.29375228505811,0.0022160224473751,0.0121663283959947,-0.0860231298569221
260,2.5,0.295959725323635,0.00242894491089459,0.00872222417984232,0.110216555915502
260,5,0.206910517407136,0.00305588522476165,0.0155515705078914,0.0474045937366296
260,5,0.220037883261408,0.00209520578266116,0.0153285515811706,0.0972529180045795
260,10,0.0958101238533594,0.00338792376460826,0.0192997773001036,0.141303496539041
260,10,0.194741307653053,0.00363597668084591,0.01771628025543,0.128874853875212
260,25,0.137463200571032,0.00616529352910045,0.02484905081058,0.367650335496254
260,25,0.152548392047059,0.00590125605432463,0.0216645314198431,0.333560803672411
260,50,0.0390805128912096,0.00563733296611688,0.027334419178496,0.75746844794667
260,50,0.118178129384349,0.00636934956048211,0.0308253186219798,0.753712515323129
260,100,0.0277818576708796,0.00522297919331749,0.0209602625025953,1.17788243273587
260,100,0.0417816151338036,0.00511369403991101,0.019838747927549,1.18794012084284
260,500,0.0316844396375959,0.0054930412962655,0.014980912087029,1.77085128260232
260,500,0.0805337078026071,0.005532157158747,0.00658434358418013,1.791859127971
