t,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,SOCS3RNA_Obs
0,38.4255436036557,0.00570731373306951,0.00597317312780773,6.35001899494311e-05
5,NaN,NaN,0.00496325794097106,6.20696018989167e-05
5.5,NaN,0.00252985510690897,NaN,NaN
10,NaN,0.000828330208795091,0.00298048981553063,6.88076073495349e-05
15,NaN,NaN,0.0018654800078059,6.03406176638873e-05
20,65.1965146418417,0.000306264549079854,0.00149996786452176,5.42951055118695e-05
25,NaN,0.00017236683317668,NaN,NaN
30,NaN,NaN,0.000448429235679247,4.34928765510118e-05
35,NaN,0.000323531604357506,0.000143300011564642,3.34218179620031e-05
45,64.5812760037457,7.56257444121161e-05,0.000134386831136315,1.83219228294469e-05
50,NaN,NaN,NaN,7.82653782612781e-06
65,62.7016780151358,NaN,NaN,3.72970572337772e-06
75,NaN,NaN,NaN,2.10856495076609e-06
90,68.3876999657287,NaN,NaN,-7.80495129988646e-06
100,58.3796342983367,NaN,NaN,6.0595204429429e-07
150,50.0492341468067,NaN,NaN,NaN
200,32.1409796866193,NaN,NaN,NaN
250,29.3540172969473,NaN,NaN,NaN
300,45.0313325046119,NaN,NaN,NaN
350,39.0128432820602,NaN,NaN,NaN
400,30.5760503098385,NaN,NaN,NaN
