t,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,SOCS3RNA_Obs
0,32.2184508157281,0.41414978676503,-0.175464462651148,0.00156726681322881
9,38.8024623360371,NaN,NaN,NaN
9.5,NaN,0.94465510614837,0.199903868839664,NaN
10,NaN,NaN,NaN,0.00205180860598597
20,48.7772441377047,7.47337503231891,3.98429942060232,0.00193901863836465
30,37.8795854972927,4.60209631112669,6.11751626560633,NaN
35,NaN,NaN,NaN,0.0286373329926917
40,36.5441060253282,1.55488993475224,NaN,NaN
45,NaN,NaN,1.96182291802178,NaN
50,NaN,NaN,NaN,0.0459273319378806
55,29.0408881971097,0.439867900370303,NaN,NaN
60,NaN,NaN,0.265306354309266,NaN
65,NaN,NaN,NaN,0.0259732842731489
70,25.5266616131443,0.137899787095759,NaN,NaN
75,NaN,NaN,0.152723097907023,NaN
80,NaN,NaN,NaN,0.00857501905736055
85,34.7129390800005,-0.161549699427058,NaN,NaN
95,NaN,NaN,0.179739054776168,NaN
100,40.4750444170765,-0.156342919355615,0.0568889890385168,0.00377831134588823
150,32.7538710884813,0.632666876398946,NaN,0.00207263454280032
