t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,37.4858697896351,0.915692896010815,0.00110249365311584
7.5,NaN,2.00000287424646,NaN
10,51.0978877130926,NaN,0.00214176118119077
15,NaN,16.3765653720297,NaN
20,57.1658437384703,NaN,NaN
25,NaN,14.8764551630217,0.0207403822667508
30,37.5498769592889,NaN,NaN
35,NaN,2.988542259617,NaN
40,NaN,NaN,0.106149877645949
45,31.5120993631505,0.30966206067086,NaN
55,31.7742418146736,-0.207589714209631,0.0806354401421938
70,NaN,-0.785155406187599,0.0328719771860229
75,28.759181664152,NaN,NaN
85,NaN,-0.354550025824316,NaN
90,24.2561866797628,NaN,NaN
95,NaN,NaN,0.00123700639663235
100,28.1052306803736,0.419043358850435,-0.00261482105678216
150,30.0429986654041,NaN,0.00282078911076244
