t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,27.6942540018565,0.0281865640917487,-0.00141303951322154
8,43.8261672446451,NaN,NaN
10,NaN,3.93607850578579,NaN
15,47.9533400756787,NaN,-0.000142051630927693
20,NaN,3.86260122269483,NaN
25,38.2610159461049,NaN,0.00991782377562465
35,27.5367390334194,0.538669020632178,NaN
40,NaN,NaN,0.0260730309859414
45,29.3052253222107,0.101847681335565,NaN
60,15.6558764296949,NaN,0.011544910349214
65,NaN,0.0713432192474445,NaN
75,38.7947452990175,NaN,0.00450544277168578
80,NaN,-0.208281578296052,NaN
95,32.0198198661479,NaN,NaN
100,23.1162895439697,-0.1043998470093,0.00181633914088856
150,NaN,0.0972864933184681,-0.00154112716007783
