t,input_il6,SOCS3RNA_Obs
12,0.1,0.000467675048575397
12,0.1,6.51702015027643e-05
12,0.1,0.000241511807510478
12,0.1,8.52225174879984e-05
12,1,0.000114537894128576
12,1,-0.000126947590887674
12,1,1.16557763233265e-05
12,1,0.000256851800183985
12,5,-2.44567550170676e-05
12,5,-0.000135624485800521
12,5,6.54606067266849e-05
12,5,-8.33451729470321e-05
12,10,0.00125332267271118
12,10,0.000986017842375812
12,10,0.00138788746213592
12,10,0.00112932616173918
12,50,-0.000183526001228893
12,50,-4.80930553649708e-05
12,50,-0.000154058109270837
12,50,-0.000129157831424217
12,100,0.000422491545000951
12,100,0.000429572362102705
12,100,-0.000104337496309552
12,100,-0.00012217332224609
12,500,0.0115459669020425
12,500,0.011679191314957
12,500,0.0117865226257452
12,500,0.0112174673615877
