t,input_il6,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA5_Obs
730,0.1,0.445378383277976,0.000955585768259241,0.00505349197605371,0.0411629237485624
730,0.1,0.474636385365922,0.00101838345525196,0.00619574789180611,-0.0085625186295161
730,0.5,0.41969617653321,0.00100525067419725,0.00227742600691903,-0.00423223818412211
730,0.5,0.439111718254841,0.00146777387593416,0.011157179483327,0.0407443854164919
730,1,0.369634518516591,0.000839975825851036,0.00908928478764475,-0.0245559492079158
730,1,0.401768393623878,0.00061960931874501,0.0107621327213463,0.00192838044914358
730,2.5,0.158247688321687,0.00347729041683764,0.0160285536040608,0.142232641212851
730,2.5,0.131568569820528,0.00428103919564111,0.019037781933736,0.126000732316176
730,5,-0.0514405311227324,0.00465575768529113,0.0141088634886002,0.734068792478377
730,5,-0.0160034022858116,0.00457401984614896,0.0113367764799466,0.695684150361516
730,10,0.286127397595851,0.00229557687493284,0.00992848599165816,-0.0141097633381838
730,10,0.264085155043391,0.00197089859063827,0.0121911621878396,0.0901598745474901
730,25,0.16320023580886,0.00488121746426986,0.0216177874716143,0.312738783115146
730,25,0.0984794634696433,0.00544353165552792,0.0313960058087677,0.26242685083098
730,50,0.205101118898144,0.00284514666656075,0.0174344012744081,0.146040693420578
730,50,0.259701870017864,0.00227844099329939,0.013594891473832,0.0605819743646998
730,100,-0.00755354597058588,0.00479469746914474,0.0213691678796558,0.537913006170645
730,100,0.0220959365907356,0.00512770615890244,0.0200165657782526,0.540226261766838
730,500,0.0396934721662807,0.00748282123419,0.0203571548095239,0.401524274655452
730,500,-0.00817828944967403,0.00842792306995005,0.0225873431904909,0.456012796502424
